Data,PIB nominal - R$ - Instituto Brasileiro de Geografia e Estatística, Sistema de Contas Nacionais Referência 2010 (IBGE/SCN 2010 Trimestrall) - PAN4_PIBPMV4,
1996 T1,189323.299147722,
1996 T2,204610.728455459,
1996 T3,221513.234374998,
1996 T4,239316.345834219,
1997 T1,219117.049382432,
1997 T2,232889.54419814,
1997 T3,246178.481096753,
1997 T4,253904.121411486,
1998 T1,235700.701907326,
1998 T2,251935.878971094,
1998 T3,258043.285625774,
1998 T4,256671.152709285,
1999 T1,250667.993916028,
1999 T2,268708.930951754,
1999 T3,274125.555876932,
1999 T4,294207.975309279,
2000 T1,276926.906210336,
2000 T2,292788.557983805,
2000 T3,308895.799906332,
2000 T4,320480.806839737,
2001 T1,312469.819931944,
2001 T2,323723.55976888,
2001 T3,332524.445736432,
2001 T4,347037.642393674,
2002 T1,342296.667234209,
2002 T2,367362.824618352,
2002 T3,379794.531635396,
2002 T4,399333.231670411,
2003 T1,397241.638848818,
2003 T2,418987.336935928,
2003 T3,439349.781582791,
2003 T4,462371.639056953,
2004 T1,444783.488160836,
2004 T2,481794.960503725,
2004 T3,505252.3183942,
2004 T4,525920.445903801,
2005 T1,499710.361274736,
2005 T2,535557.416233101,
2005 T3,552859.154396758,
2005 T4,582457.568095405,
2006 T1,554270.469074742,
2006 T2,581976.860934974,
2006 T3,617847.711056684,
2006 T4,655354.898933601,
2007 T1,631423.0086726,
2007 T2,670654.704684507,
2007 T3,691845.918293954,
2007 T4,726339.298348939,
2008 T1,712055.233422027,
2008 T2,769525.175508594,
2008 T3,812602.59924996,
2008 T4,815620.091819422,
2009 T1,756127.237203595,
2009 T2,803577.68713344,
2009 T3,852843.273468984,
2009 T4,920491.152193982,
2010 T1,886396.414271742,
2010 T2,944144.532405519,
2010 T3,997934.769121631,
2010 T4,1057371.28420111,
2011 T1,1016533.46232993,
2011 T2,1086713.56882967,
2011 T3,1112333.91189528,
2011 T4,1160801.05694512,
2012 T1,1129460.11926506,
2012 T2,1183119.50145418,
2012 T3,1230450.0298658,
2012 T4,1271730.34941496,
2013 T1,1241642.09825107,
2013 T2,1322596.77178048,
2013 T3,1354136.64865484,
2013 T4,1413243.48131362,
2014 T1,1385897.40324429,
2014 T2,1422176.91285085,
2014 T3,1462003.21427233,
2014 T4,1508875.46963253,
2015 T1,1455389.53478997,
2015 T2,1481125.58800221,
2015 T3,1509758.83423443,
2015 T4,1554296.50307338,
2016 T1,1498374.69907725,
2016 T2,1557721.78930915,
2016 T3,1580204.39152284,
2016 T4,1630593.85653462,
2017 T1,1594462.4185053,
